08-19 23:07:25.659   640 21621 I mtkpower_client: perf_lock_rel, hdl:141859, tid:21621
08-19 23:07:25.780   640 21628 I mtkpower_client: perf_lock_rel, hdl:141861, tid:21628
08-19 23:07:26.129   640 21627 I mtkpower_client: perf_lock_rel, hdl:141860, tid:21627
08-20 01:18:16.070  2162  2199 I .gms.persisten: Background concurrent copying GC freed 33182(1486KB) AllocSpace objects, 102(5304KB) LOS objects, 37% free, 10031KB/15MB, paused 222us total 153.189ms
08-20 01:18:19.721  2162  2199 I .gms.persisten: Background concurrent copying GC freed 33408(1518KB) AllocSpace objects, 102(5304KB) LOS objects, 37% free, 10049KB/15MB, paused 170us total 156.815ms
08-20 01:18:36.072  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18922(854KB) AllocSpace objects, 122(6344KB) LOS objects, 37% free, 10MB/16MB, paused 158us total 151.896ms
08-20 01:18:39.338  2162  2199 I .gms.persisten: Background concurrent copying GC freed 17941(843KB) AllocSpace objects, 116(6032KB) LOS objects, 37% free, 10MB/16MB, paused 164us total 153.703ms
08-20 01:18:40.404  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18903(853KB) AllocSpace objects, 122(6344KB) LOS objects, 37% free, 10MB/16MB, paused 165us total 153.283ms
08-20 01:18:42.590  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18585(862KB) AllocSpace objects, 122(6344KB) LOS objects, 37% free, 10MB/16MB, paused 245us total 153.261ms
08-20 01:18:45.852  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18695(851KB) AllocSpace objects, 122(6344KB) LOS objects, 37% free, 10MB/16MB, paused 126us total 150.943ms
08-20 01:18:50.237  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18732(848KB) AllocSpace objects, 122(6344KB) LOS objects, 37% free, 10MB/16MB, paused 153us total 151.131ms
08-20 01:18:50.344  2162  2513 D SharedPreferencesImpl: Time required to fsync /data/user/0/com.google.android.gms/shared_prefs/tron_prefs.xml: [<1: 0, <2: 0, <4: 1130, <8: 6937, <16: 72, <32: 29, <64: 22, <128: 2, <256: 0, <512: 0, <1024: 0, <2048: 0, <4096: 0, <8192: 0, <16384: 0, >=16384: 0]
08-20 01:18:56.907  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18973(871KB) AllocSpace objects, 122(6344KB) LOS objects, 37% free, 10MB/16MB, paused 166us total 160.083ms
08-20 01:18:58.037  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18622(847KB) AllocSpace objects, 122(6344KB) LOS objects, 37% free, 10MB/16MB, paused 177us total 154.731ms
08-20 01:19:00.261  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18558(864KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 141us total 154.603ms
08-20 01:19:05.848  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18504(846KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 176us total 149.767ms
08-20 01:19:11.465  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18781(854KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 173us total 149.816ms
08-20 01:19:17.111  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18670(852KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 158us total 151.612ms
08-20 01:19:18.270  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18579(845KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 156us total 152.066ms
08-20 01:19:19.422  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18947(869KB) AllocSpace objects, 122(6344KB) LOS objects, 37% free, 10MB/16MB, paused 298us total 156.309ms
08-20 01:19:27.890  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18166(845KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 159us total 151.018ms
